id,category_id,name,price,original_price,stock,sales,main_image,images,description,detail,status,created_at,update_time,cover_image,is_recommend,sale_count
25,13,高端童装813,777.65,561.86,96,279,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第22号商品的描述,<p>这是第22号商品的详细描述</p>,1,"2025-04-08 13:57:04","2025-04-22 13:57:04",NULL,0,603
26,13,热销男装786,537.08,399.37,70,736,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第23号商品的描述,<p>这是第23号商品的详细描述</p>,1,"2025-04-05 13:57:04","2025-04-22 13:57:04",NULL,0,698
27,15,新款电脑816,252.14,875.94,36,432,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第24号商品的描述,<p>这是第24号商品的详细描述</p>,1,"2025-04-21 13:57:04","2025-04-22 13:57:04",NULL,0,973
28,15,高端电脑552,168.72,174.50,75,53,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第25号商品的描述,<p>这是第25号商品的详细描述</p>,1,"2025-04-22 13:57:04","2025-04-22 13:57:04",NULL,0,886
29,11,精品童装870,584.06,367.29,65,171,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第26号商品的描述,<p>这是第26号商品的详细描述</p>,1,"2025-03-27 13:57:04","2025-04-22 13:57:04",NULL,0,919
30,18,热销电脑468,781.80,560.07,14,358,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第27号商品的描述,<p>这是第27号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,693
31,11,热销童装602,566.27,13.05,59,31,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第28号商品的描述,<p>这是第28号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,718
32,12,精品女装554,778.50,280.67,12,339,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第29号商品的描述,<p>这是第29号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,672
33,10,新款童装746,977.99,758.02,60,100,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第30号商品的描述,<p>这是第30号商品的详细描述</p>,1,"2025-04-02 13:57:04","2025-04-22 13:57:04",NULL,0,107
34,12,时尚男装577,308.82,1006.92,53,760,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第31号商品的描述,<p>这是第31号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 13:57:04",NULL,0,700
35,17,高端童装591,165.99,29.99,96,999,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第32号商品的描述,<p>这是第32号商品的详细描述</p>,1,"2025-04-19 13:57:04","2025-04-22 13:57:04",NULL,0,585
36,13,时尚电脑983,321.96,713.40,1,533,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第33号商品的描述,<p>这是第33号商品的详细描述</p>,1,"2025-04-04 13:57:04","2025-04-22 13:57:04",NULL,0,538
37,16,高端手机436,934.33,403.27,91,597,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第34号商品的描述,<p>这是第34号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,361
38,7,高端男装857,118.13,1177.95,79,347,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第35号商品的描述,<p>这是第35号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,703
39,12,精品手机161,489.15,1073.63,33,4,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第36号商品的描述,<p>这是第36号商品的详细描述</p>,1,"2025-04-22 13:57:04","2025-04-22 13:57:04",NULL,0,25
40,7,高端电脑96,837.39,1146.91,3,332,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第37号商品的描述,<p>这是第37号商品的详细描述</p>,1,"2025-04-05 13:57:04","2025-04-22 13:57:04",NULL,0,868
41,14,高端手机693,553.13,824.10,37,872,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第38号商品的描述,<p>这是第38号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,510
42,17,热销童装425,360.45,589.55,55,558,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第39号商品的描述,<p>这是第39号商品的详细描述</p>,1,"2025-04-19 13:57:04","2025-04-22 13:57:04",NULL,0,946
43,10,热销手机478,405.23,691.86,36,13,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第40号商品的描述,<p>这是第40号商品的详细描述</p>,1,"2025-03-25 13:57:04","2025-04-22 13:57:04",NULL,0,763
44,18,精品男装558,361.70,128.45,85,984,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第41号商品的描述,<p>这是第41号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,838
45,7,时尚电脑576,40.32,474.51,85,218,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第42号商品的描述,<p>这是第42号商品的详细描述</p>,1,"2025-04-07 13:57:04","2025-04-22 13:57:04",NULL,0,923
46,6,高端手机763,712.83,302.03,5,761,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第43号商品的描述,<p>这是第43号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,979
47,18,新款电脑649,293.75,594.47,36,153,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第44号商品的描述,<p>这是第44号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,824
48,7,精品电脑71,399.10,916.64,63,454,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第45号商品的描述,<p>这是第45号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,421
49,6,热销童装786,402.64,804.24,74,949,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第46号商品的描述,<p>这是第46号商品的详细描述</p>,1,"2025-04-07 13:57:04","2025-04-22 13:57:04",NULL,0,747
50,8,新款手机562,714.79,998.69,49,802,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第47号商品的描述,<p>这是第47号商品的详细描述</p>,1,"2025-04-07 13:57:04","2025-04-22 13:57:04",NULL,0,249
51,14,高端手机496,665.91,927.89,16,439,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第48号商品的描述,<p>这是第48号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,211
52,18,时尚童装292,973.00,1088.78,11,547,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第49号商品的描述,<p>这是第49号商品的详细描述</p>,1,"2025-04-11 13:57:04","2025-04-22 13:57:04",NULL,0,265
53,8,时尚男装695,468.20,294.22,6,81,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第50号商品的描述,<p>这是第50号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,792
54,10,精品童装991,189.69,1051.30,82,737,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第51号商品的描述,<p>这是第51号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,885
55,16,时尚手机640,284.28,560.75,3,711,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第52号商品的描述,<p>这是第52号商品的详细描述</p>,1,"2025-04-09 13:57:04","2025-04-22 13:57:04",NULL,0,165
56,11,新款女装589,860.33,590.66,70,351,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第53号商品的描述,<p>这是第53号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,158
57,17,热销手机869,289.65,913.04,43,671,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第54号商品的描述,<p>这是第54号商品的详细描述</p>,1,"2025-04-21 13:57:04","2025-04-22 13:57:04",NULL,0,230
58,6,精品手机409,985.60,849.96,62,471,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第55号商品的描述,<p>这是第55号商品的详细描述</p>,1,"2025-04-08 13:57:04","2025-04-22 13:57:04",NULL,0,59
59,16,热销男装411,16.66,1034.92,45,353,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第56号商品的描述,<p>这是第56号商品的详细描述</p>,1,"2025-04-10 13:57:04","2025-04-22 13:57:04",NULL,0,987
60,15,高端电脑353,295.75,432.94,11,400,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第57号商品的描述,<p>这是第57号商品的详细描述</p>,1,"2025-04-02 13:57:04","2025-04-22 13:57:04",NULL,0,143
61,15,时尚童装898,155.67,61.39,66,37,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第58号商品的描述,<p>这是第58号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,910
62,18,热销电脑979,986.38,1096.01,7,351,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第59号商品的描述,<p>这是第59号商品的详细描述</p>,1,"2025-04-07 13:57:04","2025-04-22 13:57:04",NULL,0,574
63,9,新款电脑217,399.02,376.13,98,772,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第60号商品的描述,<p>这是第60号商品的详细描述</p>,1,"2025-03-26 13:57:04","2025-04-22 13:57:04",NULL,0,215
64,10,时尚手机612,259.50,503.51,54,616,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第61号商品的描述,<p>这是第61号商品的详细描述</p>,1,"2025-04-09 13:57:04","2025-04-22 13:57:04",NULL,0,456
65,17,时尚电脑74,722.13,473.34,45,107,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第62号商品的描述,<p>这是第62号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 13:57:04",NULL,0,617
66,12,新款女装923,894.46,879.04,89,71,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第63号商品的描述,<p>这是第63号商品的详细描述</p>,1,"2025-04-02 13:57:04","2025-04-22 13:57:04",NULL,0,208
67,18,精品手机237,273.58,720.47,60,151,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第64号商品的描述,<p>这是第64号商品的详细描述</p>,1,"2025-03-25 13:57:04","2025-04-22 13:57:04",NULL,0,246
68,11,精品女装852,183.88,365.56,42,894,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第65号商品的描述,<p>这是第65号商品的详细描述</p>,1,"2025-04-17 13:57:04","2025-04-22 13:57:04",NULL,0,293
69,17,高端男装530,572.50,312.47,99,323,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第66号商品的描述,<p>这是第66号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,208
70,7,时尚电脑946,293.71,670.28,75,472,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第67号商品的描述,<p>这是第67号商品的详细描述</p>,1,"2025-04-20 13:57:04","2025-04-22 13:57:04",NULL,0,11
71,16,热销童装128,445.26,1015.57,26,107,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第68号商品的描述,<p>这是第68号商品的详细描述</p>,1,"2025-03-31 13:57:04","2025-04-22 13:57:04",NULL,0,387
72,15,精品电脑59,750.95,687.59,14,26,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第69号商品的描述,<p>这是第69号商品的详细描述</p>,1,"2025-04-02 13:57:04","2025-04-22 13:57:04",NULL,0,400
73,17,精品男装640,735.64,895.73,33,142,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第70号商品的描述,<p>这是第70号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,91
74,10,高端女装760,141.00,464.88,39,439,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第71号商品的描述,<p>这是第71号商品的详细描述</p>,1,"2025-04-22 13:57:04","2025-04-22 13:57:04",NULL,0,786
75,17,热销女装864,217.14,561.69,81,165,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第72号商品的描述,<p>这是第72号商品的详细描述</p>,1,"2025-04-11 13:57:04","2025-04-22 13:57:04",NULL,0,435
76,6,新款电脑77,723.10,463.93,30,499,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第73号商品的描述,<p>这是第73号商品的详细描述</p>,1,"2025-04-05 13:57:04","2025-04-22 13:57:04",NULL,0,348
77,6,时尚童装156,277.72,1080.06,37,69,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第74号商品的描述,<p>这是第74号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,871
78,15,热销童装831,589.89,518.64,74,494,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第75号商品的描述,<p>这是第75号商品的详细描述</p>,1,"2025-04-15 13:57:04","2025-04-22 13:57:04",NULL,0,724
79,17,精品电脑542,21.96,493.83,34,337,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第76号商品的描述,<p>这是第76号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,255
80,10,热销男装40,925.29,631.90,17,646,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第77号商品的描述,<p>这是第77号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,661
81,7,新款女装406,36.39,1097.57,72,141,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第78号商品的描述,<p>这是第78号商品的详细描述</p>,1,"2025-04-07 13:57:04","2025-04-22 13:57:04",NULL,0,240
82,13,精品手机588,845.67,575.06,35,523,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第79号商品的描述,<p>这是第79号商品的详细描述</p>,1,"2025-04-06 13:57:04","2025-04-22 13:57:04",NULL,0,255
83,13,时尚电脑448,319.44,254.82,10,48,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第80号商品的描述,<p>这是第80号商品的详细描述</p>,1,"2025-03-25 13:57:04","2025-04-22 13:57:04",NULL,0,561
84,18,精品女装351,136.94,716.04,99,341,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第81号商品的描述,<p>这是第81号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,516
85,11,新款女装448,246.63,1024.90,8,857,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第82号商品的描述,<p>这是第82号商品的详细描述</p>,1,"2025-04-22 13:57:04","2025-04-22 13:57:04",NULL,0,559
86,15,热销女装99,422.01,965.19,94,767,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第83号商品的描述,<p>这是第83号商品的详细描述</p>,1,"2025-03-24 13:57:04","2025-04-22 13:57:04",NULL,0,662
87,10,新款童装60,40.92,1225.63,98,583,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第84号商品的描述,<p>这是第84号商品的详细描述</p>,1,"2025-03-25 13:57:04","2025-04-22 13:57:04",NULL,0,47
88,10,新款男装768,432.77,1057.79,83,592,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第85号商品的描述,<p>这是第85号商品的详细描述</p>,1,"2025-04-09 13:57:04","2025-04-22 13:57:04",NULL,0,470
89,6,新款男装290,392.59,79.19,53,265,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第86号商品的描述,<p>这是第86号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,743
90,13,新款电脑435,384.38,739.19,17,511,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第87号商品的描述,<p>这是第87号商品的详细描述</p>,1,"2025-04-21 13:57:04","2025-04-22 13:57:04",NULL,0,657
91,8,热销电脑101,636.89,1020.68,46,102,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第88号商品的描述,<p>这是第88号商品的详细描述</p>,1,"2025-04-19 13:57:04","2025-04-22 13:57:04",NULL,0,247
92,17,新款男装647,645.45,321.90,21,848,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第89号商品的描述,<p>这是第89号商品的详细描述</p>,1,"2025-04-04 13:57:04","2025-04-22 13:57:04",NULL,0,502
93,14,热销童装756,297.76,214.08,70,359,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第90号商品的描述,<p>这是第90号商品的详细描述</p>,1,"2025-04-02 13:57:04","2025-04-22 13:57:04",NULL,0,366
94,15,新款女装720,445.20,60.55,23,587,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第91号商品的描述,<p>这是第91号商品的详细描述</p>,1,"2025-04-16 13:57:04","2025-04-22 13:57:04",NULL,0,330
95,18,热销电脑750,929.47,451.85,69,949,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第92号商品的描述,<p>这是第92号商品的详细描述</p>,1,"2025-04-03 13:57:04","2025-04-22 13:57:04",NULL,0,481
96,11,新款手机179,505.49,1119.63,67,430,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第93号商品的描述,<p>这是第93号商品的详细描述</p>,1,"2025-04-19 13:57:04","2025-04-22 13:57:04",NULL,0,370
97,11,时尚童装949,271.68,583.26,47,627,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第94号商品的描述,<p>这是第94号商品的详细描述</p>,1,"2025-04-01 13:57:04","2025-04-22 13:57:04",NULL,0,717
98,11,热销手机78,592.20,888.32,70,252,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第95号商品的描述,<p>这是第95号商品的详细描述</p>,1,"2025-04-18 13:57:04","2025-04-22 13:57:04",NULL,0,909
99,7,时尚手机11,238.20,163.60,15,85,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第96号商品的描述,<p>这是第96号商品的详细描述</p>,1,"2025-03-25 13:57:04","2025-04-22 13:57:04",NULL,0,493
100,14,新款男装973,409.76,123.00,8,607,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第97号商品的描述,<p>这是第97号商品的详细描述</p>,1,"2025-03-30 13:57:04","2025-04-22 13:57:04",NULL,0,60
101,18,新款童装411,585.24,826.53,7,511,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第98号商品的描述,<p>这是第98号商品的详细描述</p>,1,"2025-04-12 13:57:04","2025-04-22 13:57:04",NULL,0,161
102,16,高端电脑274,583.57,102.82,94,843,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第99号商品的描述,<p>这是第99号商品的详细描述</p>,1,"2025-04-11 13:57:04","2025-04-22 13:57:04",NULL,0,322
103,12,高端男装211,578.36,288.63,55,417,http://localhost:8080/uploads/default-product.jpg,http://localhost:8080/uploads/default-product.jpg,这是第100号商品的描述,<p>这是第100号商品的详细描述</p>,1,"2025-04-10 13:57:04","2025-04-22 13:57:04",NULL,0,869
